LV,EN
Rudenī,In the fall
gaidāmajās,in the upcoming
Saeimas,Saeima
vēlēšanās,desire
partiju,party
apvienības,association
Jaunā,New
vienotība,unity
Ministru,Minister
prezidenta,presidential
amata,position
kandidāts,candidate
esošais,Existing
premjers,prime minister
Krišjānis,Krišjānis
Kariņš,Kariņš
Rozīša,Raisy
kungs,Mr.
bijušo,former
arhibīskapu,Archbishop
Elmāru,Elmar
Ernstu,Ernst
Rozīti,Rose
latviešu,Latvian
kopienās,Community
diasporā,in the diaspora
uzrunā,address
tikai,only
turklāt,besides
tādu,such
īpašu,special
izteiksmes,expression
veidu,type
kurā,in which
jūtama,felt
liela,large/big
cieņa,dignity/respect
sirsnība,sincerity
Mūsdienās,These days
pilnīga,complete/full
anonimitāte,anonymity
kļuvusi, to become
utopiju,Utopia
cilvēks,human being/people
atstāj,leave
datus,data
visur,everywhere
dodas,going
labi,good
slikti,bad
svarīgi,important
izmantot,to use
kādu,someone/somebody
labumu,benefit/benefits
piemēram,for instance/for example
pētniecībā,in research
Digitālajiem,Digital
gardēžiem,gourmet
Radio,Radio
raidījums,broadcast
Digitālās Brokastis,Digital breakfast
piedāvā,offer
iknedēļas,weekly
tehnoloģiju,technology
Iepazīsties,Get to know/To meet
aizvadītās,past
spilgtākajiem,the most prominent
pasaules,world
notikumiem,for events
produktiem,products
jūnijā,in June
dziesmu,song
aptaujas,polls/surveys
noslēgumā,in conclusion
noskaidrosim,let's find out
finālistēm,for the finalists
kļūs,will become/to become
sirdsdziesmu,heartless
Katra,Every
pauž,express
stāstu,narrative/story
nereti,often
varam,can we
nojaust,prescribe
vienkārši,simply
nevēlamie,undesirable/junk
Ģimenes,Family
studijas,studies
dubultportretā,in a double -portrait
māsas,sisters
Liena,Liena
Ieva,Eve
Graudules,Grain
2014gadā,in 2014
viņas,her
Cēsīs,In Cesis
nodibinājušas,established
sabiedriskā,social
labuma,beneficial
organizāciju,organizations
Brīnummāja,Miracle house
sākotnēji,initially/originally
pulcēja,gathered
sevi,self
speciālistus,specialists
apzināj,conscious/to know
Pieradums,habit/addiction
kara,war
Ukrainā,In Ukraine
vērojums,observation
visā,in all/through out
pasaulē,in the world
sākās,began
pirms,before
mēneša,monthly
ietekmē,affects
ziedotāju,donor
aktivitāti,activity
Latvijā,In Latvia
dzīvojošā,living
ukrainiete,Ukrainian
Oksana,Oxana
Hončarenko,Honcharenko
aktīvi,active
darboja,operated
Rēzeknes,Rezekne
slimnīcā,the hospital
šobrīd,at this moment
strādā,working
trīs,three
ārsti,doctors
Kopumā,Overall/In general
vērsušies,turned
cilvēku,man
medicīnas,medical
speciālisti,specialist
atbalsta,support
personāls,staff
Slimnīcai,To the hospital
jaunie,new
ieguvums,gain
aizpilda,fill
Valmieras,Valmiera
novadā,In the county
popularizētu,popularized
savu,your own
mājražotāju,home -producers
zemnieku,peasant
gatavoto,prepared
produkciju,the product
digitālā,digital
karte,card
Viesu,Guest
meistarklašu,master class
vietas,places
domāta,meant/intended
tiem,for them
vēlas,want
apceļot,to travel
